time,raw_phoneme,F1,F2,F3,duration,word,phoneme
272.6335569,a,658.2766614,1207.570921,2491.085441,0.165787368,,
273.4894056,a,529.2587827,1160.17707,2415.851917,0.137731044,,
273.8834694,e,396.1860041,1717.883046,2427.110805,0.109674721,,
274.0084476,a,816.613878,1445.978881,2492.190266,0.140281619,,
276.0895862,o,504.3796175,1067.983813,2399.463519,0.091820696,,
276.3867282,a,679.820967,1140.865306,2609.110911,0.354529911,,
276.8644051,o,469.867498,1089.159127,2307.643566,0.081618397,,
277.0607994,a,743.0553427,1627.343354,2892.088643,0.158135644,,
282.2834606,o,383.5800154,863.4708167,2379.477327,0.181090818,,
282.5334169,a,633.0161978,1363.426573,2319.065702,0.089270121,,
282.9313066,i,309.6479539,2035.949638,2478.005198,0.140281619,,
283.44734,o,390.7187257,890.8929845,2392.826529,0.170888518,,
283.6985716,a,599.1515933,1390.161474,2420.926904,0.081618397,,
284.0288711,i,1259.759285,2124.739434,3235.157324,0.104573571,,
286.1425117,e,502.8410617,1559.62456,2406.676308,0.13518047,,
286.3886422,a,443.8623752,1078.097611,2215.490147,0.107124146,,
287.2196065,e,370.7911201,1574.396515,2267.710859,0.12497817,,
287.4402312,a,532.0063493,1198.582332,2445.752614,0.102022996,,
290.2987682,o,534.757282,852.2065176,2554.22234,0.096921846,,
290.4824096,o,404.5768315,853.8838171,2222.172179,0.153034494,,
290.7132366,e,365.4173004,1425.312719,2172.931741,0.099472421,,
291.2764231,o,420.194055,848.4898402,2451.695045,0.063764372,,
291.4422104,o,384.1219958,820.032404,2353.636589,0.11987702,,
291.6424306,e,348.1655178,1375.473027,2164.345073,0.071416097,,
293.4275382,u,327.7730656,900.2587894,2329.111087,0.112225295,,
293.6277583,a,508.4770027,1008.779003,2519.81917,0.160686219,,
294.8912082,u,339.7848186,960.3561101,2471.714665,0.178540243,,
295.0850519,a,569.6204238,1079.627002,2542.136595,0.117326445,,
296.6904094,u,332.9478813,967.8248855,2332.18466,0.089270121,,
297.0360123,u,308.7187209,824.5563917,2467.527222,0.158135644,,
297.3101991,a,549.3588676,1196.470819,2562.766525,0.109674721,,
297.7344983,u,314.1038457,1171.360378,2271.318512,0.06376436,,
297.9984828,u,303.1253262,850.9506455,2498.475369,0.102022976,,
298.2509896,a,469.5613737,1191.157359,2413.775162,0.071416083,,
3.171007108,u,316.659462,986.5249837,2347.381665,0.089270121,,
3.482177246,u,314.7860857,789.6335709,2456.620608,0.175989668,,
3.786970946,a,557.8975656,1235.345332,2494.949343,0.234652891,,
5.526725249,e,460.236346,1660.437846,2361.174375,0.122427595,,
5.790709751,a,539.3997689,1290.574285,2553.55895,0.094371271,,
5.952671257,o,528.3437274,984.4942784,2435.871672,0.096921846,,
6.966198704,e,450.6490279,1675.968856,2291.012037,0.153034494,,
7.240385505,a,596.7485447,1307.620085,2438.352125,0.11477587,,
7.43295391,o,461.8695066,783.9133539,2473.345169,0.107124146,,
7.73622729,a,530.6177718,1305.659239,2483.658964,0.09643178,,
7.923449511,e,392.5688135,1691.084525,2526.71789,0.109674721,,
8.065006418,a,1347.727595,2401.826327,3738.000095,0.173439093,,
10.76214234,o,442.8382385,882.3485142,2504.232831,0.211697716,,
11.04908202,a,611.2968931,1243.072923,2609.513666,0.132629895,,
11.89920883,o,394.9135003,751.5319213,2406.792936,0.155585069,,
12.10835597,a,242.986198,884.5183332,2515.558536,0.099472421,,
15.23984263,i,369.9342255,2075.675413,2730.88363,0.127528745,,
15.66451335,i,313.5865076,1822.160275,2228.928663,0.12497817,,
15.85580646,a,564.3232717,1314.0717,2581.874652,0.13007932,,
16.40947774,i,333.6896237,2048.457778,2296.141091,0.170888518,,
16.76783351,i,335.6847565,1865.725812,2264.978693,0.117326445,,
16.9718795,a,519.4666026,1452.519245,2605.756228,0.127528745,,
19.04595604,o,407.1844875,862.1541276,2343.47579,0.132629895,,
19.26530548,a,695.0607791,1135.938649,2627.238597,0.142832194,,
19.52928998,a,758.6166944,1147.636425,2624.535966,0.227001166,,
20.12439183,o,408.095293,856.7467301,2519.193445,0.109674721,,
20.33353897,a,643.9729408,1173.913096,2534.995131,0.181090818,,
20.57966945,a,404.5099982,889.044284,2612.52751,0.142832194,,
27.39928811,e,390.3222054,1736.531682,2360.312371,0.132629895,,
27.75126745,a,366.9298364,1057.03915,2177.865626,0.147933344,,
28.05351057,o,463.7048692,923.586651,2413.023217,0.160686219,,
28.2231238,a,449.8105287,1009.476038,2422.719338,0.178540243,,
28.64481939,a,682.6851339,1220.142407,2477.709061,0.206596567,,
28.91518033,o,451.0758631,869.9954275,2271.511793,0.099472421,,
29.08734413,a,707.86662,1233.66944,2445.202892,0.132629895,,
29.35387921,e,436.7006171,1710.184607,2364.353558,0.099472421,,
29.65193066,a,1140.398226,2330.636289,3259.961744,0.159954599,,
